Animal	Weight	Food	Temp	Photoperiod	Location	Age	Sire	Dam	Litter
M23	16.6	3.97	20	long	colony	449	male_4	female_13	A
M23	17	4.18	20	long	colony	449	male_4	female_13	A
M23	18	3.83	20	long	colony	449	male_4	female_13	A
M23	17.4	4.18	20	long	colony	449	male_4	female_13	A
M23	18.1	4.1	20	long	colony	449	male_4	female_13	A
M23	17.5	3.55	20	long	colony	449	male_4	female_13	A
M23	17.8	3.4	20	long	colony	449	male_4	female_13	A
M23	17.5	3.4	20	long	colony	449	male_4	female_13	A
M23	18.2	3.4	20	long	colony	449	male_4	female_13	A
M23	17.2	3.58	20	long	colony	449	male_4	female_13	A
M23	17.8	3.8	20	long	colony	449	male_4	female_13	A
M23	17.9	3.5	20	long	colony	449	male_4	female_13	A
M23	17.4	3.57	20	long	colony	449	male_4	female_13	A
M23	17.2	3.48	20	long	colony	449	male_4	female_13	A
M23	17.6	3.4	20	long	colony	449	male_4	female_13	A
M23	17.2	3.45	20	long	colony	449	male_4	female_13	A
M23	17.8	5.9	20	long	colony	449	male_4	female_13	A
M23	16.7	3.12	20	long	colony	449	male_4	female_13	A
M23	17.4	4.37	20	long	colony	449	male_4	female_13	A
M23	17.2	3.93	20	long	colony	449	male_4	female_13	A
M23	17.3	3.77	20	long	colony	449	male_4	female_13	A
M23	17.6	3.75	20	long	colony	449	male_4	female_13	A
M23	17.2	6.3	20	long	colony	449	male_4	female_13	A
M23	17.5	3.28	20	long	colony	449	male_4	female_13	A
M23	17.3	3.87	20	long	colony	449	male_4	female_13	A
M23	16.8	3.6	20	long	colony	449	male_4	female_13	A
M23	17.6	4.62	20	long	colony	449	male_4	female_13	A
M23	18.1	4.25	20	long	colony	449	male_4	female_13	A
M23	17.3	3.93	20	long	colony	449	male_4	female_13	A
M27	15.9	5.37	20	long	colony	396	male_4	female_1	B
M27	16	5.05	20	long	colony	396	male_4	female_1	B
M27	16.1	4.67	20	long	colony	396	male_4	female_1	B
M27	15.7	5.15	20	long	colony	396	male_4	female_1	B
M27	16.8	5.23	20	long	colony	396	male_4	female_1	B
M27	15.9	4.83	20	long	colony	396	male_4	female_1	B
M27	16.5	4.53	20	long	colony	396	male_4	female_1	B
M27	15.7	4.58	20	long	colony	396	male_4	female_1	B
M27	16.2	4.53	20	long	colony	396	male_4	female_1	B
M27	15.5	4.6	20	long	colony	396	male_4	female_1	B
M27	16.4	4.43	20	long	colony	396	male_4	female_1	B
M27	16.6	4.58	20	long	colony	396	male_4	female_1	B
M27	16.4	4.87	20	long	colony	396	male_4	female_1	B
M27	15.9	4.38	20	long	colony	396	male_4	female_1	B
M27	16.6	4.5	20	long	colony	396	male_4	female_1	B
M27	15.9	4.58	20	long	colony	396	male_4	female_1	B
M27	16.2	7.5	20	long	colony	396	male_4	female_1	B
M27	16.1	3.6	20	long	colony	396	male_4	female_1	B
M27	16.5	5.73	20	long	colony	396	male_4	female_1	B
M27	15.6	4.08	20	long	colony	396	male_4	female_1	B
M27	16.5	4.23	20	long	colony	396	male_4	female_1	B
M27	15.7	-2.1	20	long	colony	396	male_4	female_1	B
M27	16.1	6	20	long	colony	396	male_4	female_1	B
M27	15.9	3.12	20	long	colony	396	male_4	female_1	B
M27	15.9	4.17	20	long	colony	396	male_4	female_1	B
M27	16.1	4.6	20	long	colony	396	male_4	female_1	B
M27	16.4	5.18	20	long	colony	396	male_4	female_1	B
M27	16.6	5.1	20	long	colony	396	male_4	female_1	B
M27	16	4.63	20	long	colony	396	male_4	female_1	B
M29	17.7	4.17	20	long	colony	314	male_3	female_18	C
M29	17.5	4	20	long	colony	314	male_3	female_18	C
M29	18.2	3.97	20	long	colony	314	male_3	female_18	C
M29	17.7	4.03	20	long	colony	314	male_3	female_18	C
M29	18.5	3.87	20	long	colony	314	male_3	female_18	C
M29	17.9	4	20	long	colony	314	male_3	female_18	C
M29	18.4	3.6	20	long	colony	314	male_3	female_18	C
M29	17.4	3.35	20	long	colony	314	male_3	female_18	C
M29	18.4	4.07	20	long	colony	314	male_3	female_18	C
M29	17.5	3.5	20	long	colony	314	male_3	female_18	C
M29	18.3	4.1	20	long	colony	314	male_3	female_18	C
M29	18	3.7	20	long	colony	314	male_3	female_18	C
M29	17.2	3.7	20	long	colony	314	male_3	female_18	C
M29	17.2	3.75	20	long	colony	314	male_3	female_18	C
M29	18.1	4.27	20	long	colony	314	male_3	female_18	C
M29	18	3.4	20	long	colony	314	male_3	female_18	C
M29	18.4	5.75	20	long	colony	314	male_3	female_18	C
M29	17.6	2.86	20	long	colony	314	male_3	female_18	C
M29	18.6	3.8	20	long	colony	314	male_3	female_18	C
M29	17.9	3.4	20	long	colony	314	male_3	female_18	C
M29	18.3	3.4	20	long	colony	314	male_3	female_18	C
M29	17.7	3.28	20	long	colony	314	male_3	female_18	C
M29	18.7	5.15	20	long	colony	314	male_3	female_18	C
M29	18.8	2.68	20	long	colony	314	male_3	female_18	C
M29	18.2	3.67	20	long	colony	314	male_3	female_18	C
M29	18.6	3.25	20	long	colony	314	male_3	female_18	C
M29	19	4.32	20	long	colony	314	male_3	female_18	C
M29	18.8	3.85	20	long	colony	314	male_3	female_18	C
M29	18.1	3.85	20	long	colony	314	male_3	female_18	C
M34	16.5	4.27	20	long	colony	273	male_3	female_20	D
M34	16.2	4.48	20	long	colony	273	male_3	female_20	D
M34	16.6	4.13	20	long	colony	273	male_3	female_20	D
M34	16.4	4.7	20	long	colony	273	male_3	female_20	D
M34	17	4.57	20	long	colony	273	male_3	female_20	D
M34	16.2	4.4	20	long	colony	273	male_3	female_20	D
M34	17.1	4.3	20	long	colony	273	male_3	female_20	D
M34	16.5	4.25	20	long	colony	273	male_3	female_20	D
M34	17.4	3.87	20	long	colony	273	male_3	female_20	D
M34	16.3	4.05	20	long	colony	273	male_3	female_20	D
M34	17	3.93	20	long	colony	273	male_3	female_20	D
